date,open,high,low,close,volume
2023-01-03,78.7,78.7,78.7,78.7,500
2023-01-04,72.81,72.81,72.81,72.81,500
2023-01-09,67.4,67.4,67.4,67.4,500
2023-01-10,65,65,65,65,500
2023-01-16,60.45,60.45,60.45,60.45,500
2023-01-17,56.65,56.65,56.65,56.65,500
2023-01-27,62.46,62.46,58.1,58.1,500
2023-02-01,65.56,65.56,61.09,61.09,500
2023-02-02,56.6,56.6,56.6,56.6,500
2023-02-10,60.84,60.84,60.84,60.84,1500
2023-02-16,65.4,65.4,57.5,61.45,1000
2023-02-17,66.05,66.05,60.7,60.7,1000
2023-02-20,65.25,65.25,60.7,60.7,500
2023-02-27,68,68,60.46,60.46,1000
2023-02-28,64.99,64.99,60.5,60.5,1500
2023-03-09,66.68,66.68,62.04,62.04,500
2023-03-20,72.05,72.05,72.05,72.05,500
2023-03-22,77.88,77.88,77.88,77.88,500
2023-03-24,83.72,83.72,83.72,83.72,1000
2023-03-27,89.99,89.99,89.99,89.99,500
2023-03-28,96.65,96.65,96.65,96.65,500
2023-03-29,103.89,103.89,90.05,98.49,2000
2023-03-30,104.9,104.9,104.9,104.9,500
2023-04-05,112,112,112,112,500
2023-04-06,106,106,106,106,500
2023-04-19,103.84,103.84,103.84,103.84,500
2023-04-26,105.9,105.9,105.9,105.9,500
2023-05-04,99.4,99.4,99,99.4,1000
2023-05-10,101.51,101.51,101.51,101.51,500
2023-05-12,108,108,108,108,500
2023-06-14,78.16,87.86,78.16,87.86,1000
2023-06-21,79.95,79.95,79.95,79.95,1000
2023-06-23,73.95,85.45,73.95,85.45,1000
2023-07-04,90.04,90.04,90.04,90.04,500
2023-07-05,96.79,96.79,83.29,83.29,2500
2023-07-06,77.04,77.05,77.04,77.05,1000
2023-07-14,82.83,82.83,78,80.42,1000
2023-08-18,72.15,72.15,72.15,72.15,2000
2023-08-21,66.85,66.85,66.8,66.8,1000
2023-08-25,71.8,71.81,71.8,71.81,1000
2023-08-28,68,68,68,68,500
2023-09-06,62.91,64.85,62.9,64.85,4000
2023-09-07,61.05,64.45,61,62.73,2000
2023-09-14,58.03,64.98,58.03,61.51,1000
2023-09-15,64.85,64.85,61.31,63.85,1500
2023-09-21,66.95,66.95,65.95,65.95,1000
2023-09-26,61.02,64.91,61.02,64.91,1000
2023-09-27,67.86,67.86,67.86,67.86,500
2023-10-02,62.77,64.95,62.77,64.95,1500
2023-10-04,68.95,69.82,68,69.81,5500
2023-10-05,67,75.02,67,75.02,1000
2023-10-06,79.85,79.85,79.85,79.85,500
2023-10-09,73.9,73.9,73.9,73.9,500
2023-11-08,71,71,71,71,1000
2023-11-13,70,70,70,70,1000
2023-11-28,65.05,65.05,65.05,65.05,500
2023-11-29,69.9,69.9,69.9,69.9,500
2023-11-30,70,70,70,70,500
2023-12-01,75,75,75,75,500
2023-12-04,80.63,80.63,80.63,80.63,1000
2023-12-13,76,76,76,76,500
2023-12-18,79,79,77,77,1000
2023-12-19,72,73,72,73,1000
2023-12-26,76,76,76,76,500
2024-01-01,70.3,70.3,70.3,70.3,500
2024-01-18,72,72,72,72,500
2024-01-19,76,76,76,76,500
2024-01-30,72,72,72,72,2000
2024-02-29,67.3,67.3,67.3,67.3,500
2024-03-19,67.5,67.5,67.5,67.5,1000
2024-04-17,64.05,68.9,64.05,64.25,3000
2024-04-24,62.01,62.01,62.01,62.01,500
2024-04-30,66,66,66,66,500
2024-05-13,65,65,65,65,500
2024-05-15,65.45,66,65.45,65.73,1000
2024-05-29,67,67,67,67,500
2024-05-30,68,68,68,68,500
2024-05-31,66.5,66.6,66,66.5,521
2024-06-04,66,70,66,66.5,300
2024-06-07,63.2,69,63.2,66.5,2
2024-06-11,69.99,72.15,69.4,69.85,3601
2024-06-12,66.65,69,66.65,69.85,401
2024-06-13,70,70,66.15,69.85,5
2024-06-21,66,66,66,69.85,10
2024-06-26,67.1,67.1,65,69.85,120
2024-06-28,69,75,66.5,74.99,2056
2024-07-01,75.45,80,68.51,79.97,2132
2024-07-04,82,82,82,79.97,53
2024-07-05,87,87,77,86.83,633
2024-07-09,93,93,90,93,566
2024-07-10,85,92.92,85,93,3
2024-07-11,94.88,94.88,94.88,93,1
2024-07-12,95,95,95,93,1
2024-07-15,95,95,95,93,1
2024-07-18,90,90,90,93,5
2024-07-19,90,90,90,93,22
2024-07-29,98.3,98.3,84.01,92.05,82
2024-07-30,88.88,88.88,88.88,92.05,2
2024-07-31,83,83,83,92.05,33
2024-08-06,94,94,94,92.05,1
2024-08-12,83,87.5,83,92.05,23
2024-08-15,84,84,82.86,92.05,116
2024-08-19,83.5,83.5,83.5,87,26
2024-08-28,84,84,80.5,84.55,13
2024-09-03,74.2,80.5,74.2,81.11,124
2024-09-04,73.63,80.5,73.63,81.11,2
2024-09-05,73.3,73.3,73.3,81.08,80
2024-09-09,88,88,73.5,81.08,3
2024-09-10,79,79,79,81.08,33
2024-09-11,74.11,75.02,74.11,80.45,96
2024-09-19,80,80,80,80.45,1
2024-09-20,73.2,78,73.1,80.45,35
2024-09-23,78.99,78.99,78.99,80.45,1
2024-09-24,74,74,73.3,80.45,122
2024-09-25,73.1,77,73,74.36,1640
2024-09-30,67.11,67.25,67,67,1464
2024-10-02,64.01,65.1,64.01,67,2
2024-10-07,63.21,63.21,63.21,67,20
2024-10-08,61.1,61.1,61.1,67,33
2024-10-09,69,69,69,67,40
2024-10-10,69,69,68.69,67,25
2024-10-16,70,70,70,67,1
2024-10-25,61,64.01,61,62.69,1162
2024-10-29,66,68,66,67,1203
2024-10-30,68,68,66.5,67,201
2024-10-31,0,0,0,67,1
2024-11-01,61.31,70,61.31,67,13
2024-11-04,70,70,66,67,212
2024-11-05,69,69,69,67,1
2024-11-06,0,0,0,67,500
2024-11-08,70,70,70,67,20
2024-11-13,63.05,70,63.05,67,301
2024-11-14,70,73,70,73,499
2024-11-15,73,80.3,73,73,300
2024-11-18,79.99,80,79.99,73,300
2024-11-19,77,79.9,77,73,301
2024-11-20,79.97,80,79.97,73,300
2024-11-21,79.99,80,79.99,73,300
2024-11-22,70,80.3,68.1,73,207
2024-11-25,80,80,80,73,300
2024-11-26,80.3,80.3,80.3,80.3,369
2024-11-27,73,88.33,72.3,88.15,580
2024-12-03,88,90,88,88.1,315
2024-12-04,90,90,90,88.1,1
2024-12-16,80,94.94,80,82.13,350
2024-12-17,90,90,85,85,1260
2024-12-18,77.77,77.77,77.77,85,163
2024-12-19,80,80,80,85,2
