date,open,high,low,close,volume
2023-01-02,39.39,39.39,39.3,39.3,1500
2023-01-03,42.18,42.18,41,42.18,6000
2023-01-04,43.85,43.85,42,42.25,8000
2023-01-05,39.11,39.11,39.11,39.11,500
2023-01-06,36.25,36.25,36.25,36.25,500
2023-01-09,36.25,36.25,36,36,1000
2023-01-10,33.5,37,33.5,37,1000
2023-01-12,35.15,39.75,35.15,39.75,6500
2023-01-13,36.9,36.9,36.9,36.9,500
2023-01-16,34.52,34.52,34.52,34.52,500
2023-01-17,32.1,32.1,32.1,32.1,500
2023-01-18,34.5,34.5,34.5,34.5,10000
2023-01-19,37.08,37.08,37,37,5000
2023-01-20,39.77,39.77,39.77,39.77,500
2023-01-26,40.49,40.49,40.49,40.49,500
2023-01-27,41.39,43.51,41.39,43.51,1000
2023-01-30,46.4,46.4,46.4,46.4,500
2023-01-31,49.5,49.5,49.5,49.5,500
2023-02-01,45.79,45.79,45.79,45.79,1000
2023-02-03,49.22,49.22,49.22,49.22,500
2023-02-07,42.12,48.94,42.12,43.53,16000
2023-02-08,44.99,44.99,44.99,44.99,500
2023-02-09,46.7,46.7,46.7,46.7,500
2023-02-10,43.2,44,43.2,43.5,12000
2023-02-13,40.35,40.35,40.35,40.35,500
2023-02-14,37.55,40.25,37.55,40.25,1500
2023-02-16,38.02,38.02,38.02,38.02,500
2023-02-17,36.12,36.12,36.12,36.12,500
2023-02-20,33.7,33.7,33.7,33.7,500
2023-02-23,36.22,36.22,36.22,36.22,500
2023-03-07,38.93,38.93,36.6,36.6,1000
2023-03-08,35.11,35.11,35.11,35.11,500
2023-03-13,37.74,37.74,37.74,37.74,1500
2023-03-14,40.57,40.57,40.57,40.57,500
2023-03-15,43.49,43.61,43.49,43.61,2500
2023-03-16,46.87,46.87,46.87,46.87,500
2023-03-20,50.2,50.2,50.2,50.2,500
2023-03-28,52.9,52.9,52.9,52.9,500
2023-04-06,45.71,45.71,45.71,45.71,500
2023-04-07,49.12,49.12,42.29,44.49,6500
2023-04-10,41.2,43.5,41.2,41.25,10500
2023-04-11,38.3,43.98,38.3,43.98,1000
2023-04-12,40.75,41.01,40.75,41,2500
2023-04-17,42.21,42.21,42.21,42.21,1000
2023-04-20,39.15,39.15,39.15,39.15,500
2023-05-02,39.2,39.2,39.2,39.2,500
2023-05-03,41.99,42.14,41.99,42.14,2000
2023-05-04,40.01,40.01,40.01,40.01,500
2023-05-09,39.27,39.27,39.27,39.27,500
2023-05-15,42.21,42.21,39.1,39.1,1500
2023-05-17,42.03,42.03,40.05,40.05,1000
