date,open,high,low,close,volume
2023-01-03,39.92,39.92,36.4,36.45,2500
2023-01-04,39.18,39.18,39.18,39.18,2000
2023-01-05,41.75,42.1,41.75,42.1,2000
2023-01-06,45.24,45.24,38.95,39.01,4000
2023-01-10,41.9,41.93,36.3,41.93,1500
2023-01-12,45,45.07,41.93,45.07,3000
2023-01-13,45,45,45,45,500
2023-01-24,44.32,44.32,44,44.1,3000
2023-01-25,47.18,47.18,47.18,47.18,500
2023-01-27,49.7,49.84,49.7,49.84,1000
2023-01-31,46.25,46.25,46.12,46.25,6000
2023-02-01,44.5,44.5,44.4,44.4,1000
2023-02-02,46,47.73,46,47.73,6500
2023-02-03,44.85,44.85,44.7,44.7,1000
2023-02-06,41.9,41.9,41.75,41.75,1000
2023-02-07,44.88,44.88,44.88,44.88,1000
2023-02-10,48.35,48.37,48.35,48.36,2500
2023-02-13,48,48.4,44.75,44.83,3500
2023-02-14,48.19,48.19,48.19,48.19,7000
2023-02-15,48,48.99,47.01,47.08,2500
2023-02-17,48,49,48,49,4500
2023-02-20,46.5,46.5,46.01,46.01,1000
2023-02-21,42.8,42.8,42.65,42.65,1000
2023-03-06,45.84,45.84,45.84,45.84,1000
2023-03-08,45.84,45.84,45.84,45.84,1000
2023-03-13,46.85,47.75,43.3,43.4,7000
2023-03-14,46.65,46.65,42.71,42.76,2000
2023-03-15,45.85,45.96,45.85,45.96,4500
2023-03-16,46.15,46.15,46,46,7000
2023-03-27,42.8,42.95,42.8,42.95,1000
2023-03-28,46.17,46.17,40.3,40.3,3500
2023-03-29,43.32,43.32,43.32,43.32,500
2023-04-13,40.15,40.15,40.1,40.1,2000
2023-04-17,43.09,43.09,43.09,43.09,500
2023-04-20,46.32,46.32,46.32,46.32,500
2023-04-26,44,44,42.85,43,4000
2023-05-02,40.15,40.15,40.15,40.15,500
2023-05-03,40,42.75,40,42.75,1000
2023-05-04,43.9,43.9,43.9,43.9,500
2023-05-09,42.1,44.35,42,42,1500
2023-05-18,39.5,39.75,38.85,39.75,3500
2023-05-19,41.95,41.95,41.95,41.95,1000
2023-05-25,39,39,39,39,1000
2023-05-26,39.95,41.93,39.95,41.93,3500
2023-05-29,45.07,45.07,45.07,45.07,1000
2023-05-30,45.05,45.05,43,45,2000
2023-05-31,47,47,47,47,1000
2023-06-01,43.48,43.48,43.48,43.48,3000
2023-06-06,40.23,46.25,40.23,46.25,4500
2023-06-08,42.78,42.78,42.78,42.78,1500
2023-06-09,44.99,45,44.99,45,10000
