date,open,high,low,close,volume
2023-01-27,54,54,54,54,1500
2023-01-30,57.9,57.9,57.9,57.9,3000
2023-03-02,55,55,55,55,1000
2023-03-03,55,55,55,55,1000
2023-03-15,52,52,52,52,2000
2023-03-20,49,49,49,49,1000
2023-04-17,48,48,48,48,500
2023-06-06,51.6,51.6,51.6,51.6,3000
2023-07-13,51.5,51.5,51.5,51.5,3000
2023-07-31,50,50,50,50,1000
2023-10-23,45.56,45.56,45.56,45.56,500
2023-11-17,42.14,42.14,42.14,42.14,1000
2023-11-27,45.3,45.3,45.3,45.3,1000
2023-11-29,45,45,45,45,500
2023-12-06,48.38,48.38,48.38,48.38,500
2023-12-07,49.99,49.99,49.99,49.99,500
2023-12-13,53.74,53.74,53.74,53.74,500
2023-12-15,57.77,57.77,57.77,57.77,500
2024-02-28,62.1,62.1,62.1,62.1,500
2024-05-06,62.9,62.9,62.9,62.9,500
2024-07-11,68,68.88,56.92,62.9,141
2024-07-15,62.9,62.9,62.9,62.9,3
2024-07-18,56.92,56.92,56.92,62.9,1
2024-07-19,56.92,56.92,56.92,56.92,10
2024-07-23,55,55,55,55,1020
2024-07-25,60,60,60,55,1
2024-08-02,55,55,55,55,10
2024-08-12,50.51,50.51,50.51,55,4
2024-08-20,49.5,50,49.5,55,2
2024-09-03,53.12,53.12,53.12,55,1
2024-09-05,52,52,52,55,19
2024-09-06,52,52,52,55,285
2024-09-18,60,60,60,55,60
2024-09-26,49.5,49.5,49.5,55,1
2024-10-03,49.5,60.42,49.5,55,90
2024-10-09,60,60,60,55,5
2024-10-18,60.5,60.5,60.5,55,1
2024-10-23,55,55,55,55,10
2024-11-04,49.6,49.61,49.6,55,2
2024-11-05,49.6,49.6,49.6,55,1
2024-11-07,60.5,60.5,60.5,55,10
2024-11-14,49.5,49.5,49.5,55,1
2024-11-28,50,50,50,55,3
2024-12-02,55,55,55,55,490
2024-12-16,60.5,60.5,60.5,55,1
2024-12-19,49.5,49.5,49.5,49.5,632
2024-12-23,49.5,49.5,49.5,49.5,1
2024-12-30,49.5,54.45,49.5,49.5,76
2024-12-31,51,51,51,49.5,66
2025-01-02,49.5,49.5,49.5,49.5,5
2025-01-07,54.45,54.45,54.45,54.45,1000
2025-01-08,59.59,59.9,49.01,54.45,28
2025-01-09,59.9,59.9,59.9,54.45,10
2025-01-13,59.88,59.88,59.88,54.45,35
2025-01-30,52,59.9,52,54.45,300
2025-02-03,52,55,52,54.45,20
2025-02-04,52,52,52,54.45,1
2025-02-06,52.1,58,52.1,54.45,2
2025-02-10,54.05,54.05,54.05,54.45,10
2025-02-11,59.9,59.9,59.9,58.1,105
2025-02-12,56,56,56,58.1,50
2025-02-13,63.91,63.91,63.91,58.1,11
2025-02-14,63.25,63.25,63.25,58.1,1
2025-02-17,56,56,56,58.1,10
2025-02-18,63.91,63.91,52.29,52.29,845
2025-02-19,57.5,57.5,57.4,52.29,113
2025-02-20,57.5,57.5,57.5,52.29,1
2025-02-21,57.35,57.35,57.35,52.29,10
2025-02-25,53.09,58.4,53.09,54.75,485
2025-02-26,52,52,52,54.75,10
2025-02-27,60.23,60.23,60.23,54.75,10
2025-02-28,54,54,54,54,632
2025-03-07,59.01,59.4,59.01,54,195
2025-03-25,54,54,54,54,15
2025-04-11,54,54,54,54,31
2025-04-21,48.6,59,48.6,54,22
2025-04-25,59.4,59.4,59.4,54,143
2025-04-29,55,55,55,54,20
2025-05-13,49,49,49,54,20
2025-05-19,59.4,59.4,59.4,54,20
2025-05-22,50,50,50,54,50
2025-06-04,59.39,59.39,59.39,54,100
2025-06-17,59.4,59.4,59.4,54,59
2025-06-24,50.01,59.4,50.01,54,10
2025-07-10,59.4,59.4,59.4,57.71,71
2025-07-16,67.4,67.4,67.4,66.38,70
2025-07-17,73.02,73.02,72.01,72.99,2074
2025-07-18,80.29,80.29,80.29,79.24,137
2025-07-21,87.16,87.16,85,87.16,3998
2025-07-22,91.02,95.88,91.02,95.88,1896
2025-07-23,105.47,105.47,102.01,103.86,10422
2025-07-24,105.78,105.78,93.47,94.4,10944
2025-07-25,99.98,99.98,84.96,85.04,3937
2025-07-28,91.95,91.95,80.05,84.28,2024
2025-07-29,84.28,89,76.18,81.4,1259
2025-07-30,82,85.96,73.45,81.4,160
2025-07-31,85.99,85.99,81.45,81.4,14
2025-08-01,81.4,85,75.01,75.11,2535
2025-08-04,82.62,82.62,79,81.5,1072
2025-08-05,84.35,84.35,73.66,81.5,189
2025-08-06,75.11,81.74,75.11,76.04,1161
2025-08-07,76.4,83.5,76.4,81.94,2188
2025-08-08,81.94,81.94,78.05,80.33,622
2025-08-11,76,88,76,79.23,1571
2025-08-12,86.95,86.95,79,82.89,406
2025-08-13,80,82.8,74.6,81.58,417
2025-08-15,77.02,85.98,77.02,80,476
2025-08-18,83,85,82.85,83.45,624
2025-08-19,82,82,82,83.45,95
2025-08-20,80.01,80.01,80.01,83.45,9
2025-08-22,78.01,85.6,78.01,78.53,713
2025-08-25,78.54,78.55,78.54,78.53,94
2025-08-26,78.6,78.6,78.6,78.53,6
2025-08-27,78.53,80,70.76,75.48,337
2025-09-03,75.48,75.5,75.4,75.42,832
2025-09-04,77,80,76,77.44,626
2025-09-05,73.01,79.99,73,77.44,249
2025-09-09,77,77,77,77.44,175
2025-09-11,74,74.8,74,77.44,22
2025-09-12,80,80,80,77.44,30
2025-09-15,85.17,85.17,69.7,77.51,478
2025-09-16,75.01,78.99,70.11,77.51,224
2025-09-17,74,79.99,74,77.51,134
2025-09-18,77.5,77.5,74.01,77.51,17
2025-09-19,84.99,84.99,73.01,77.51,111
2025-09-22,73.02,82.49,73.02,77.51,305
2025-09-24,77.51,77.51,74,77.51,27
2025-09-25,74,84.82,74,77.51,36
2025-09-29,73,79.99,73,77.51,102
2025-09-30,80,80,80,77.51,150
2025-10-01,75,85,75,84.99,1497
2025-10-02,93.44,93.44,78,88.03,2575
2025-10-03,88,96.15,79.26,93.13,812
2025-10-06,93.13,99,83.82,85.96,6477
2025-10-07,88,88,78.15,87.96,610
2025-10-08,84.75,96.76,84.6,85.67,20587
2025-10-09,82.56,94.24,82.56,94.24,11429
2025-10-10,94.62,103.66,88.06,103.66,1395
2025-10-13,104.08,114.03,100.5,113.77,15686
2025-10-14,122.49,122.49,102.55,102.65,3926
2025-10-15,100.87,112.92,92.65,106.22,6929
2025-10-16,106.24,116.84,97.01,116.84,25901
2025-10-17,120.01,126.87,104.22,113,32376
2025-10-20,116.99,116.99,102.01,106.33,2143
2025-10-21,106.33,109.97,100,102.55,2120
2025-10-22,102.54,105,97.11,104.01,3376
2025-10-23,103,104.99,93.63,96.29,1478
2025-10-24,96.29,100,93.52,99.19,268
2025-10-27,94,94,93.56,99.19,55
2025-10-28,99.25,99.4,99.25,99.19,9
2025-10-29,99,100,94.21,99.19,231
2025-10-30,91.43,91.5,89.27,91.19,2244
2025-10-31,91.19,98.77,91.19,98.77,1913
2025-11-03,95,99.99,90,99.98,599
2025-11-05,98.88,98.88,98.8,99.98,11
2025-11-06,96,98.78,90,93.84,1132
2025-11-07,103,103,84.51,90.83,388
2025-11-10,90.83,96.49,85.02,95.03,2151
2025-11-11,95,95.63,95,95.03,7
2025-11-12,95.75,95.75,95.75,95.03,7
2025-11-13,95.81,95.81,95.7,95.03,3
2025-11-14,95.81,95.81,95.81,95.03,6
2025-11-17,95.83,95.83,94.5,95.03,37
2025-11-18,94.6,94.6,94.6,95.03,34
2025-11-19,95,95,88.11,95.03,27
2025-11-20,89.02,101,89.02,95,786
2025-11-21,86,86,86,95,3
2025-11-24,86.5,86.5,86.5,95,11
2025-11-25,95,98.8,89,91.82,834
2025-11-26,91.82,91.82,91.82,91.82,200
2025-11-27,91.82,91.82,88,91.58,420
2025-11-28,99.48,99.48,87.01,91.58,14
2025-12-02,86.55,90,86.55,88.21,390
2025-12-05,90.99,90.99,79.4,88.21,154
2025-12-08,88.22,94,88.01,88.21,242
2025-12-09,88.26,88.26,86.8,88,1321
2025-12-10,86,93.77,85.5,88,175
2025-12-11,88,90,88,88,7
2025-12-12,88.52,88.52,88.51,88,14
2025-12-15,88,96.8,85,96.8,5208
2025-12-16,106.48,106.48,87.12,88.09,2802
2025-12-17,94,94,88.01,92.69,381
