date,open,high,low,close,volume
2023-01-03,99.95,99.95,99.95,99.95,100
2023-01-11,92.5,99.95,92.5,99.95,200
2023-01-24,98.0,99.95,98.0,99.95,100
2023-02-08,99.5,99.95,99.5,99.86,500
2023-02-13,99.95,99.95,99.95,99.95,900
2023-02-28,94.0,99.41,94.0,99.41,100
2023-03-01,99.0,99.41,99.0,99.41,100
2023-03-22,99.41,99.41,99.0,99.0,1000
2023-03-29,99.0,99.0,99.0,99.0,2500
2023-04-03,103.0,103.0,99.0,99.0,100
2023-04-17,92.0,92.0,92.0,92.0,1100
2023-04-18,85.11,85.3,85.11,85.11,2100
2023-04-26,83.0,85.11,83.0,85.11,300
2023-04-27,80.0,85.11,79.0,85.11,300
2023-04-28,79.0,80.4,78.73,79.12,1200
2023-05-02,80.0,80.0,79.0,79.0,600
2023-05-03,81.0,81.01,79.0,79.0,200
2023-05-04,78.0,79.0,78.0,79.0,100
2023-05-05,78.9,79.0,78.9,79.0,100
2023-05-08,80.0,84.01,80.0,82.0,400
2023-05-09,87.8,88.0,80.0,80.54,2400
2023-05-11,79.0,84.8,79.0,84.57,800
2023-05-12,84.0,84.57,84.0,84.57,200
2023-05-15,81.5,81.5,81.5,84.57,300
2023-05-19,80.0,87.0,80.0,85.13,600
2023-05-22,90.0,91.51,90.0,90.9,800
2023-05-23,96.4,97.72,96.4,97.72,800
2023-05-26,103.6,103.6,103.6,97.72,200
2023-05-30,104.9,104.9,104.89,104.9,800
2023-06-06,98.0,98.0,98.0,104.9,300
2023-06-09,98.0,98.0,98.0,104.9,200
2023-06-26,97.04,97.04,97.03,97.04,300
2023-06-27,90.0,90.0,90.0,97.04,100
2023-07-03,99.5,99.5,99.5,99.5,500
2023-07-05,99.5,99.5,99.5,99.5,500
2023-08-01,100.0,100.0,98.0,98.0,1000
2023-09-08,95.0,95.0,95.0,95.0,3000
2023-10-18,87.98,87.98,87.98,87.98,500
2023-10-26,82.0,82.0,81.4,81.42,3500
2023-11-07,75.75,85.5,75.75,82.0,2000
2023-11-08,83.01,83.01,83.0,83.0,1500
2023-11-10,86.83,89.23,86.1,86.1,4500
2023-11-22,88.11,88.11,86.0,86.39,9000
2023-11-24,90.0,92.87,90.0,92.87,2500
2023-11-30,95.0,95.0,95.0,95.0,500
2023-12-05,90.0,90.0,90.0,90.0,1000
2023-12-07,90.0,90.0,90.0,90.0,1000
2023-12-08,91.0,91.0,91.0,91.0,500
2023-12-13,90.0,90.0,90.0,90.0,1000
2023-12-18,90.0,90.0,90.0,90.0,1000
2023-12-20,88.0,88.0,88.0,88.0,500
2023-12-21,88.0,88.0,88.0,88.0,500
2024-01-01,88.1,88.1,88.0,88.0,1000
2024-01-04,81.5,86.0,81.5,86.0,1500
2024-01-05,83.12,89.0,82.2,89.0,2500
2024-01-08,85.5,85.5,85.5,85.5,1000
2024-01-22,85.1,85.1,85.1,85.1,500
2024-02-13,85.0,85.0,85.0,85.0,500
2024-02-19,83.0,83.0,83.0,83.0,500
2024-02-20,88.88,89.23,88.88,89.23,5000
2024-02-21,95.92,95.92,90.0,95.92,9000
2024-02-22,101.8,103.11,101.8,103.11,3000
2024-02-23,103.0,103.0,101.0,101.0,3000
2024-02-26,100.0,102.0,100.0,101.17,2500
2024-03-01,102.99,102.99,102.99,102.99,500
2024-03-04,97.0,98.0,95.27,98.0,9500
2024-03-12,95.0,95.0,95.0,95.0,1000
2024-04-04,96.0,102.13,96.0,96.0,4500
2024-04-08,103.2,103.2,98.0,98.0,4000
2024-04-09,104.99,105.0,100.0,100.0,3500
2024-04-15,98.01,102.0,98.0,102.0,4000
2024-04-16,98.0,106.3,98.0,106.3,2500
2024-04-17,98.33,103.0,98.33,98.33,7500
2024-04-18,93.0,97.0,93.0,97.0,2500
2024-04-19,93.0,93.0,92.0,92.75,2500
2024-04-22,92.75,92.75,92.75,92.75,500
2024-04-24,91.4,91.4,91.4,91.4,1000
2024-04-25,91.0,91.0,90.0,90.0,1500
2024-04-29,85.0,85.0,85.0,85.0,500
2024-04-30,85.6,85.6,85.6,85.6,1000
2024-05-06,88.0,90.68,87.0,87.0,5500
2024-05-07,90.5,92.0,90.5,92.0,1000
2024-05-08,90.0,90.0,90.0,90.0,500
2024-05-09,90.0,94.0,90.0,93.5,5000
2024-05-13,90.5,93.0,90.2,92.5,5000
2024-05-14,92.5,92.5,90.0,90.0,1500
2024-05-15,86.61,86.61,86.61,86.61,500
2024-05-16,89.89,89.89,86.0,89.85,2500
2024-05-21,85.01,85.01,85.01,85.01,500
2024-05-22,87.0,87.0,87.0,87.0,500
2024-05-27,88.49,88.49,88.49,88.49,906
2024-05-30,91.0,91.0,91.0,91.0,301
2024-05-31,86.0,88.0,85.4,86.96,6062
2024-06-03,91.95,91.95,91.74,91.75,6580
2024-06-04,91.94,91.94,91.94,91.75,55
