date,open,high,low,close,volume
2026-04-02,66,68.74,64.6,67.4,327601
2026-04-03,67.95,68.9,66.01,67.4,695977
2026-04-06,66,70,64.8,67.96,1072826
2026-04-07,66.32,68.01,65.72,67.43,322013
2026-04-08,74,74.17,71.52,74.17,1241454
2026-04-09,75.4,81.59,71,80.57,1999913
2026-04-10,82.7,83.9,76.05,81.14,997821
2026-04-13,77,79,75,75.82,872705
2026-04-14,79.8,80.25,76.69,78.34,1003570
2026-04-15,80.35,84,80,80.86,929983
2026-04-16,82.5,82.5,80,81.02,952662
2026-04-17,83.25,84.25,81.5,82.78,449443
2026-04-20,80.5,81,77,78.92,392811
2026-04-21,79.88,81.5,77,79.91,220320
2026-04-22,80.99,81,77.5,77.85,192666
2026-04-23,77,79.99,77,79.3,132868
2026-04-24,78.5,79.99,76,79.58,787424
2026-04-27,81,81,77.07,78.69,471368
2026-04-28,78,79.99,77.55,79.16,194214
2026-04-29,79.44,80,77.06,78.4,455598
2026-04-30,77,77.98,74.01,75.31,273821
2026-05-04,76.35,79.97,75.6,76.52,203977
2026-05-05,74.5,77.9,74.5,76.68,30723
2026-05-06,78.1,83,77.99,80.33,325834
2026-05-07,80.95,82.49,79.99,81.79,428760
2026-05-08,81.75,83.55,79.6,82.68,255732
2026-05-11,81.2,81.9,79.46,80.08,212451
2026-05-12,80.97,80.97,79,79.26,44918
2026-05-13,80.39,82,78.11,78.99,116125
2026-05-14,78.99,81,74.33,76.35,439379
2026-05-15,76.8,77.6,74.11,75.35,414391
2026-05-18,75.06,75.06,72.14,72.41,166223
2026-05-19,72.5,74.95,72,73.13,160137
2026-05-20,72.6,73.44,72.05,72.77,178186
2026-05-21,73.99,74.3,72.2,72.99,867102
2026-05-22,73,74.5,71.03,72.92,546272
2026-05-25,77,77,73.55,75.13,226397
2026-05-29,73.17,76.4,73.17,75.63,220809
2026-06-01,75,75.05,73.11,73.99,104962
2026-06-02,73.98,73.98,73.06,73.48,33413
2026-06-03,73.27,73.5,71.26,72.45,132652
2026-06-04,72.97,74.9,72,73.66,213689
2026-06-05,73.5,74.94,72.7,73.95,202196
2026-06-08,73.95,73.95,71.9,73.05,22136
2026-06-09,73.02,75.85,73.02,74.01,433039
2026-06-10,74.74,75.35,72.99,73.01,444720
2026-06-11,73.49,74.1,72.3,73.84,341718
2026-06-12,74.95,75.94,74,74.6,343481
2026-06-15,76.98,79.35,75.85,78.27,957031
2026-06-16,77.99,82.83,76.51,81.89,939538
2026-06-17,81.89,82.5,80.2,81.42,359138
2026-06-18,83.48,84,78.03,80.66,462236
2026-06-19,80.7,82.01,79.12,80.32,338350
2026-06-22,80.01,82,77.5,80.19,313655
2026-06-23,81,81.44,78.38,80.15,174027
2026-06-24,79.05,80.74,79,79.61,590685
2026-06-29,80.88,81.89,78.26,80.51,347791
2026-06-30,80.6,81,78.5,80.05,979837
2026-07-01,79.9,83.9,79.83,83.1,779972
2026-07-02,84.1,85,82.5,82.91,514879
2026-07-03,82.7,82.9,80.8,81.41,141353
2026-07-06,82.95,85.99,80.11,83.85,536739
2026-07-07,84,85.11,82.5,84.69,880820
2026-07-08,84.8,85,79,81.68,1266800
2026-07-09,80.01,82,79.2,80.5,703060
2026-07-10,80.5,82,80,80.33,335866
2026-07-13,79.95,81,78.52,80.26,265619
2026-07-14,79,79.99,75.11,77.52,654548
2026-07-15,76.5,78.8,76.5,77.95,202437
2026-07-16,78.52,80.3,77.54,79.75,296704
2026-07-17,79.69,79.9,75.82,76.79,513445
2026-07-20,76.5,77.5,74.56,77.38,273185
2026-07-21,78,79,76.77,77.37,311382
2026-07-22,77.25,77.5,75.81,75.92,98692
2026-07-23,75.1,76.48,72.56,73.02,472797
2026-07-24,72,80,70.65,77.68,576672
2026-07-27,76.9,85.45,76.9,82.33,914421
2026-07-28,83.87,90.56,82.01,90.56,7505392
2026-07-29,89.97,95,86.8,89.29,6614789
2026-07-30,86.2,90,85.05,88.72,684678
2026-07-31,89,95.87,88.5,92.46,3453495
2026-08-03,95,98.9,93.5,93.8,1586120
2026-08-04,94.1,96.5,91.36,91.92,955548
2026-08-05,93.3,94.44,91.51,92.04,112797
2026-08-06,92.89,97.88,91.4,96.03,2126245
2026-08-07,96.03,100,92.7,96.37,1208729
2026-08-10,95.99,96.49,92.01,92.78,578405
2026-08-11,92.89,92.89,88.26,89.92,206299
2026-08-12,88.1,91.47,88.1,89.8,193098
2026-08-13,90.87,92,87.25,88.31,479317
2026-08-17,88.99,89.89,82.6,86.65,1753150
2026-08-18,86.82,88,84,86.6,1191624
2026-08-19,87.39,87.39,83.01,83.81,393096
2026-08-20,84,85.87,83,84.11,367824
2026-08-21,84.6,87,84.1,86.25,596303
2026-08-24,86.5,88.88,85.01,87.17,717091
2026-08-25,86.75,90.44,85.51,89.36,742137
2026-08-27,89.99,97.89,87.5,94.88,5652594
2026-08-28,95.05,98,93,93.89,1564763
2026-08-31,93.8,96,91.15,94.11,815567
2026-09-01,94.89,98,90.51,93.28,1981415
2026-09-02,92.5,94,90.1,92.3,1369666
2026-09-03,91.99,93,90.5,91.86,1840421
